id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-two-hand-landmine-press,Two-Hand Landmine Press,,Landmine,Angled press,bilateral,external,Both hands cup bar end at upper chest; press forward-up through arc.,Anterior Delts,Anterior Delts | Chest (pec major) | Triceps,Anterior Delts=1 | Chest (pec major)=0.5 | Triceps=0.25,The upward-forward arc combines shoulder flexion with some adduction and elbow extension; anterior deltoid is the designated prime mover.,low,Anterior Delts=low | Chest (pec major)=low | Triceps=low,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-cable-lateral-raise,Single-Arm Cable Lateral Raise,Cable side raise,Cable,Shoulder abduction,unilateral,external,Low pulley across body; raise in scapular plane with soft elbow.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,high,Lateral Delts=high,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-behind-body-cable-lateral-raise,Behind-Body Cable Lateral Raise,,Cable,Shoulder abduction,unilateral,external,Low cable passes behind pelvis; begin with arm slightly across body.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-leaning-cable-lateral-raise,Leaning Cable Lateral Raise,,Cable,Shoulder abduction,unilateral,external,Hold upright support and lean away; raise arm against low cable.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-seated-dumbbell-lateral-raise,Seated Dumbbell Lateral Raise,Seated DB Lateral Raise,Dumbbell,Shoulder abduction,bilateral,external,Sit upright; elevate arms to shoulder level without swinging.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-side-lying-dumbbell-lateral-raise,Side-Lying Dumbbell Lateral Raise,Side-Lying DB Lateral Raise,Dumbbell,Shoulder abduction,unilateral,external,Lie on side on a shallow incline bench; move upper arm away from trunk.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-machine-lateral-raise,Machine Lateral Raise,,Selectorized machine,Shoulder abduction,bilateral,external,Elbow pads or handles resist shoulder abduction; seat aligns joint with pivot.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-lateral-raise,Band Lateral Raise,,Resistance band,Shoulder abduction,bilateral,external,Stand on band; abduct arms without shrugging to initiate motion.,Lateral Delts,Lateral Delts,Lateral Delts=1,Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted.,medium,Lateral Delts=medium,anatomy-upper | lateral,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-front-raise,Dumbbell Front Raise,DB Front Raise,Dumbbell,Shoulder flexion,bilateral,external,Lift arms forward to approximately shoulder height; torso remains still.,Anterior Delts,Anterior Delts,Anterior Delts=1,Loaded shoulder flexion targets anterior deltoid; no elbow movement is required.,medium,Anterior Delts=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-front-raise,Cable Front Raise,,Cable,Shoulder flexion,bilateral,external,Low cable behind body; raise handle forward with fixed elbow angle.,Anterior Delts,Anterior Delts,Anterior Delts=1,Loaded shoulder flexion targets anterior deltoid; no elbow movement is required.,medium,Anterior Delts=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-front-raise,Barbell Front Raise,BB Front Raise,Barbell,Shoulder flexion,bilateral,external,Overhand shoulder-width grip; elevate arms forward without hip drive.,Anterior Delts,Anterior Delts,Anterior Delts=1,Loaded shoulder flexion targets anterior deltoid; no elbow movement is required.,medium,Anterior Delts=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-bent-over-dumbbell-reverse-fly,Bent-Over Dumbbell Reverse Fly,Bent-Over DB Reverse Fly,Dumbbell,Shoulder horizontal abduction,bilateral,external,Hinge torso near horizontal; abduct arms with slight fixed elbow bend.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-chest-supported-dumbbell-reverse-fly,Chest-Supported Dumbbell Reverse Fly,Incline rear-delt fly | Chest-Supported DB Reverse Fly,Dumbbell,Shoulder horizontal abduction,bilateral,external,Lie face down on low incline bench; move arms out and retract scapulae.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-standing-cable-reverse-fly,Standing Cable Reverse Fly,,Cable,Shoulder horizontal abduction,bilateral,external,Cross opposing shoulder-height cables; open arms and retract scapulae.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-face-pull,Cable Face Pull,Rope face pull,Cable,Shoulder horizontal abduction,bilateral,external,"Rope toward forehead, elbows out; combine horizontal abduction with retraction.",Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-reverse-pec-deck,Reverse Pec Deck,Rear-delt machine,Selectorized machine,Shoulder horizontal abduction,bilateral,external,Face pad; handles at shoulder height; abduct arms and retract scapulae.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-pull-apart,Band Pull-Apart,,Resistance band,Shoulder horizontal abduction,bilateral,external,Arms forward at shoulder level; pull band apart by horizontal abduction.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-face-pull,Band Face Pull,,Resistance band,Shoulder horizontal abduction,bilateral,external,Anchor near face height; draw hands toward forehead with elbows out.,Rear Delts,Rear Delts | Mid / Low Traps & Rhomboids,Rear Delts=1 | Mid / Low Traps & Rhomboids=0.5,Horizontal abduction targets rear deltoid; deliberate scapular retraction gives the grouped retractors secondary credit.,medium,Rear Delts=medium | Mid / Low Traps & Rhomboids=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-prone-dumbbell-y-raise,Prone Dumbbell Y Raise,Prone DB Y Raise,Dumbbell,Scapular upward rotation / Y raise,bilateral,external,"Face down on incline bench; thumbs up, arms form Y; emphasize scapular upward rotation.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Lateral Delts,Mid / Low Traps & Rhomboids=1 | Lateral Delts=0.25,The defined Y path emphasizes lower-trapezius scapular action with minor shoulder-elevation assistance. Group credit does not mean equal rhomboid recruitment.,low,Mid / Low Traps & Rhomboids=low | Lateral Delts=low,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-cable-y-raise,Cable Y Raise,,Cable,Scapular upward rotation / Y raise,bilateral,external,Low opposing pulleys; lift arms in Y plane with controlled scapular movement.,Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Lateral Delts,Mid / Low Traps & Rhomboids=1 | Lateral Delts=0.25,The defined Y path emphasizes lower-trapezius scapular action with minor shoulder-elevation assistance. Group credit does not mean equal rhomboid recruitment.,low,Mid / Low Traps & Rhomboids=low | Lateral Delts=low,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-bent-over-barbell-row,Bent-Over Barbell Row,Barbell bent row | Bent-Over BB Row,Barbell,Horizontal pull — tucked elbows,bilateral,external,"Unsupported hip hinge; overhand grip, elbows near torso, pull to lower ribs.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-underhand-barbell-row,Underhand Barbell Row,Yates-style underhand row | Underhand BB Row,Barbell,Horizontal pull — tucked elbows,bilateral,external,Supinated grip with elbows close; pull to waist without torso heave.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-pendlay-row,Pendlay Row,,Barbell,Horizontal pull — tucked elbows,bilateral,external,"Torso near horizontal; reset bar on floor each rep, elbows moderately tucked.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-barbell-seal-row,Barbell Seal Row,BB Seal Row,Barbell,Horizontal pull — tucked elbows,bilateral,external,Prone on elevated flat bench; pull bar toward lower ribs with no torso movement.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-chest-supported-dumbbell-row,Chest-Supported Dumbbell Row,Incline dumbbell row | Chest-Supported DB Row,Dumbbell,Horizontal pull — tucked elbows,bilateral,external,"Prone low-incline bench, neutral grip, elbows near torso.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-two-dumbbell-bent-over-row,Two-Dumbbell Bent-Over Row,Two-DB Bent-Over Row,Dumbbell,Horizontal pull — tucked elbows,bilateral,external,"Unsupported hinge, neutral grip, both arms pull to hips.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-chest-supported-dumbbell-high-row,Chest-Supported Dumbbell High Row,Chest-Supported DB High Row,Dumbbell,Horizontal pull — flared elbows,bilateral,external,"Prone incline bench, elbows 60–90 degrees from torso, retract scapulae.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-bent-over-dumbbell-high-row,Bent-Over Dumbbell High Row,Bent-Over DB High Row,Dumbbell,Horizontal pull — flared elbows,bilateral,external,"Unsupported hinge with elbows flared, pull toward upper ribs.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-close-grip-seated-cable-row,Close-Grip Seated Cable Row,Seated low cable row,Cable,Horizontal pull — tucked elbows,bilateral,external,Neutral narrow handle; pull toward waist with elbow path near torso.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-seated-cable-row,Single-Arm Seated Cable Row,,Cable,Horizontal pull — tucked elbows,unilateral,external,"One low handle, elbow toward hip, torso remains square.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-standing-single-arm-cable-row,Standing Single-Arm Cable Row,,Cable,Horizontal pull — tucked elbows,unilateral,external,Pulley at lower chest; split stance resists forward pull.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-chest-supported-cable-high-row,Chest-Supported Cable High Row,,Cable,Horizontal pull — flared elbows,bilateral,external,"Bench faces pulley at shoulder height; elbows flare, scapulae retract.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-cable-high-row,Single-Arm Cable High Row,,Cable,Horizontal pull — flared elbows,unilateral,external,"Pulley at chest height, elbow flared; no trunk rotation.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-landmine-t-bar-row,Landmine T-Bar Row,T-bar row,Landmine,Horizontal pull — tucked elbows,bilateral,external,"Straddle bar, close neutral handle, unsupported hinge; pull to lower ribs.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-landmine-row,Single-Arm Landmine Row,,Landmine,Horizontal pull — tucked elbows,unilateral,external,"Stand alongside bar, grip sleeve with neutral hand and tucked elbow.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-meadows-row,Meadows Row,,Landmine,Horizontal pull — flared elbows,unilateral,external,"Stand perpendicular to bar end, overhand sleeve grip, elbow flares; brace free arm.",Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-chest-supported-fixed-path-row,Chest-Supported Fixed-Path Row,,Selectorized machine,Horizontal pull — tucked elbows,bilateral,external,"Chest pad, linked neutral handles, elbows drive toward hips.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-unilateral-seated-machine-row,Unilateral Seated Machine Row,,Selectorized machine,Horizontal pull — tucked elbows,unilateral,external,Independent handle in horizontal path; chest pad limits torso rotation.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-chest-supported-lever-t-bar-row,Chest-Supported Lever T-Bar Row,,Plate-loaded machine,Horizontal pull — tucked elbows,bilateral,external,Inclined torso pad and close handles; lever arc draws toward waist.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-independent-lever-low-row,Independent-Lever Low Row,,Plate-loaded machine,Horizontal pull — tucked elbows,bilateral,external,Supported torso with separate handles pulling from forward-low position.,Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-chest-supported-wide-lever-row,Chest-Supported Wide Lever Row,,Plate-loaded machine,Horizontal pull — flared elbows,bilateral,external,Wide handles and chest pad; elbow flare and scapular retraction define the movement.,Mid / Low Traps & Rhomboids,Mid / Low Traps & Rhomboids | Rear Delts | Biceps (Brachii) | Lats / teres major,Mid / Low Traps & Rhomboids=1 | Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=0.25,Flared elbows and deliberate scapular retraction emphasize upper-back retractors; posterior shoulder and elbow flexors assist. Lats receive only minor credit in this path.,medium,Mid / Low Traps & Rhomboids=medium | Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-smith-bent-over-row,Smith Bent-Over Row,,Smith machine,Horizontal pull — tucked elbows,bilateral,external,"Hinge torso, fixed bar path toward waist, elbows tucked.",Lats / teres major,Lats / teres major | Mid / Low Traps & Rhomboids | Biceps (Brachii) | Rear Delts,Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5 | Biceps (Brachii)=0.5 | Rear Delts=0.25,"Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits.",medium,Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium | Biceps (Brachii)=medium | Rear Delts=medium,anatomy-upper | pull,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Machine lever arms, cable routing, cams and seat settings vary; match the described joint path rather than a product label."
